track_id,title,artist,album,image_url,preview_url,language,genre,duration_ms
886606213,Ente Kannil Ninakkaai,"Nazriya Nazim, Gopi Sundar & Sachin Warrier",Bangalore Days (Original Motion Picture Soundtrack) - EP,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fd/1a/51/fd1a51e9-bc11-1d39-4559-c1b725bc1261/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/20/20/09/20200945-ad86-979c-d309-f1eababf89d6/mzaf_15107999987177500216.plus.aac.p.m4a,Malayalam,Regional Indian,317045
1640972387,"Pavizha Mazha (From ""Athiran"")","K S Harishankar, P. S. Jayhari & Vinayak Sasikumar","Pavizha Mazha (From ""Athiran"") - Single",https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/db/63/35/db6335fe-6c69-85cd-4f78-a649cb8bfc01/8905574874953.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/e9/4b/85/e94b85b6-dbe9-0ca3-631a-31ac1a78667d/mzaf_8541401502948702248.plus.aac.p.m4a,Malayalam,Malayalam,232910
886606208,Maangalyam,"Vijay Yesudas, Sachin Warrier & Divya S Menon",Bangalore Days (Original Motion Picture Soundtrack) - EP,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fd/1a/51/fd1a51e9-bc11-1d39-4559-c1b725bc1261/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/78/84/d1/7884d168-7a00-8831-dc01-26cd1449b6eb/mzaf_16030064576249754758.plus.aac.p.m4a,Malayalam,Regional Indian,234661
1742154294,The Last Dance,Hanumankind,Aavesham (Original Motion Picture Soundtrack),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3e/ab/82/3eab8268-4a1d-a04b-7336-a3e583cf8b4c/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/46/4a/37/464a37f3-9b19-ca09-b3e9-d6e82ac84aa4/mzaf_2737827290220365159.plus.aac.p.m4a,Malayalam,Indian,83000
1851661439,KALYANI,"ARJN, KDS, FIFTY4 & RONN",KALYANI - Single,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/fd/44/28/fd4428aa-47fa-1dc1-83d6-f416731bc327/25UM1IM78684.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/61/83/71/61837120-a931-4266-5811-96c8d4a9448f/mzaf_1035557517818159683.plus.aac.p.m4a,Malayalam,Pop,234490
1605153313,Darshana,Hesham Abdul Wahab & Darshana Rajendran,Hridayam (Side A) [Original Motion Picture Soundtrack],https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/fa/3e/2c/fa3e2c4e-a525-defd-b22c-d31ef7d83964/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4a/c1/00/4ac10015-d8cf-a9cb-0186-5673b9ec300a/mzaf_9753657757113650016.plus.aac.p.m4a,Malayalam,Malayalam,225116
1742154745,Armadham,Pranavam Sasi,Aavesham (Original Motion Picture Soundtrack),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3e/ab/82/3eab8268-4a1d-a04b-7336-a3e583cf8b4c/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5b/39/c2/5b39c284-126d-1aac-bdf8-472b089613a6/mzaf_8077604245084774655.plus.aac.p.m4a,Malayalam,Indian,173714
886606200,Aethu Kari Raavilum,"Gopi Sundar, Haricharan & Vijay Yesudas",Bangalore Days (Original Motion Picture Soundtrack) - EP,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fd/1a/51/fd1a51e9-bc11-1d39-4559-c1b725bc1261/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/56/a4/1b/56a41bd6-4424-07f8-e9fc-719b195df1d6/mzaf_1847799403746046333.plus.aac.p.m4a,Malayalam,Regional Indian,327123
1742154920,Illuminati,Dabzee,Aavesham (Original Motion Picture Soundtrack),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3e/ab/82/3eab8268-4a1d-a04b-7336-a3e583cf8b4c/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/06/6a/c2/066ac23b-df32-8d29-cec9-2853bc06c0fa/mzaf_5278098251541886310.plus.aac.p.m4a,Malayalam,Indian,212525
1605627351,Nagumo,Hesham Abdul Wahab & Arvind Venugopal,Hridayam (Side B) [Original Motion Picture Soundtrack],https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/dd/dc/37/dddc377e-0642-93b5-a585-b081cb7564f0/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/af/c5/47/afc54717-44cb-44c3-3d5e-7bbb3e42233f/mzaf_10026920878137327270.plus.aac.p.m4a,Malayalam,Malayalam,159605
1699785245,"Kalapakkaara (From ""King of Kotha"")","Jakes Bejoy, Shreya Ghoshal, Benny Dayal & Fejo","Kalapakkaara (From ""King of Kotha"") - Single",https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/7a/71/3b/7a713b88-85c2-37b7-cf89-5894aa6360f3/196871346153.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8c/b0/4e/8cb04e20-281e-5a73-b547-60282c74310b/mzaf_11200962111135906571.plus.aac.p.m4a,Malayalam,Soundtrack,251999
1463551439,"Parayuvaan (From ""Ishq"")","Sid Sriram, Neha S. Nair & Jakes Bejoy","Parayuvaan (From ""Ishq"") - Single",https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e0/c3/ad/e0c3ad92-515c-eff4-03e4-de0c7a8cc134/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e3/34/70/e33470d4-4cf0-b5c1-762b-fd0837e14261/mzaf_5485301773372393616.plus.aac.p.m4a,Malayalam,Malayalam,277347
1605627354,Puthiyoru Lokam,"Hesham Abdul Wahab, Vimal Roy & Bhadra Rajin",Hridayam (Side B) [Original Motion Picture Soundtrack],https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/dd/dc/37/dddc377e-0642-93b5-a585-b081cb7564f0/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/28/1a/53/281a53a6-fbf3-d1a0-ccf1-5b16ee9a66df/mzaf_3035178216094097146.plus.aac.p.m4a,Malayalam,Malayalam,201744
968545696,Kattu Mooliyo,Vineeth Sreenivasan,Ohm Shanthi Oshaana (Original Motion Picture Soundtrack),https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/3d/8e/b3/3d8eb325-4b50-5156-7003-076242dedc13/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d3/90/c2/d390c2ca-b99a-e9f8-efbb-4a340375c088/mzaf_3246321759357168276.plus.aac.p.m4a,Malayalam,Regional Indian,229714
